workerid,proliferate.condition,accuracy,age,camblock,comments,eyesight,eyesight_task,gender,headphones,language,previous_accuracy_attempts,time_in_minutes,error
1037,condition1,71,19,No,,nearsighted,glasses,Woman,no,Mandarin,[15],6.462133333333333,
1076,condition1,77,27,No,I had an error (one pair of pictures disappeared and then next button did not work) so I had to retake it.,none,neither,Woman,yes,Korean,[],4.6834,
1039,condition1,77,20,No,,none,neither,Woman,yes,English,[],4.802583333333334,
1093,condition1,75,21,Yes,,none,neither,Male,yes,Korean,[],4.6872,
1022,condition1,54,23,Yes,,nearsighted,neither,Woman,no,English,[],4.5548,
1096,condition1,75,19,No,,nearsighted,contacts,Male,yes,English & Tagalog,[],4.8033166666666665,
1012,condition1,88,26,No,,nearsighted,neither,Woman,yes,"spanish, english",[],4.368566666666666,
1025,condition1,69,20,No,,none,neither,Male,yes,English,[],5.827383333333334,
1084,condition1,86,23,No,,nearsighted,contacts,Male,yes,English,[],3.084033333333333,
1013,condition1,71,22,No,,nearsighted,glasses,Woman,no,english,[],6.1559,
1091,condition1,78,18,No,,nearsighted,contacts,Woman,yes,"English, Malayalam",[],6.03595,
1088,condition1,80,23,No,,nearsighted,contacts,Woman,yes,Vietnamese,[],6.45345,
1032,condition1,84,19,No,,none,neither,Woman,yes,english,[],4.8933,
1035,condition1,64,21,No,,none,neither,Male,yes,English,[],5.406783333333333,
1047,condition1,79,22,No,,none,neither,Woman,no,English,[],3.1942,
1011,condition1,78,20,Yes,,nearsighted,glasses,Woman,yes,Persian,[37],6.249483333333333,
1105,condition1,84,21,No,,nearsighted,contacts,Woman,no,English,[],3.75575,
1014,condition1,80,20,Yes,,nearsighted,contacts,Woman,no,"English, Spanish",[],3.702583333333333,
1095,condition1,88,21,No,,nearsighted,contacts,Male,no,English,[],5.9792,
1110,condition1,93,21,No,,none,neither,Male,yes,English,[],4.291566666666666,
1030,condition1,85,22,No,,nearsighted,neither,NB,yes,English,[],5.671366666666667,
1074,condition1,78,18,No,,farsighted,contacts,Woman,no,English,[],5.752666666666666,
1024,condition1,51,22,No,,nearsighted,neither,Male,no,Spanish,"[50, 50, 50, 50]",34.1202,
1078,condition1,67,25,No,,none,neither,Woman,yes,English,[48],8.339816666666668,
1092,condition1,72,21,Yes,,none,neither,Woman,yes,Korean,[],5.671633333333333,
1033,condition1,70,27,No,"I wear contact lenses in both eyes, but only had my left contact lens in at the time of the study.",nearsighted,contacts,Woman,yes,English,[],5.515316666666667,
1000,condition1,84,19,No,,none,neither,Woman,yes,"Chinese, English",[],3.12895,
1018,condition1,73,18,Yes,,nearsighted,glasses,Woman,no,"English, Mandarin Chinese",[],7.476966666666667,
1077,condition1,54,57,No,,nearsighted,neither,Male,no,English,[],4.2605,
1003,condition1,82,51,No,,farsighted,neither,Woman,no,Chinese ,[48],5.991983333333334,
1102,condition1,55,21,No,,farsighted,glasses,Woman,yes,"Hebrew, Mandarin, English",[24],5.151666666666666,
1099,condition1,79,21,Yes,,nearsighted,contacts,Woman,no,English,[43],4.984366666666666,
1046,condition1,76,22,Yes,,nearsighted,neither,Woman,no,Spanish,[],6.5378,
1098,condition1,63,20,Yes,,none,neither,Male,no,English,[],4.679716666666667,
998,condition1,74,21,No,,none,neither,Woman,yes,English,[],4.080416666666666,
1090,condition1,71,22,No,First time the study crashed so I had to repeat it,none,neither,Male,yes,English,[],3.6477666666666666,
986,condition1,54,36,No,asd fsdf,nearsighted,glasses,Woman,yes,german,[],3.0681166666666666,
1085,condition1,77,22,No,,nearsighted,neither,Male,yes,English,[],6.382883333333333,
1021,condition1,67,19,No,,nearsighted,glasses,Woman,yes,"English, Mandarin",[],4.98555,
997,condition1,69,36,No,test,nearsighted,glasses,Woman,no,german,[50],4.913283333333333,
1029,condition1,91,53,No,,farsighted,glasses,Male,no,English,[],4.599666666666667,
1079,condition1,76,20,No,"For the glasses questions, I actually have astigmatism and am a bit more nearsighted than farsighted.",nearsighted,glasses,NB,yes,Spanish,[],7.358933333333334,
1026,condition1,71,19,No,,nearsighted,contacts,Woman,yes,English,[],5.673483333333333,
1080,condition1,76,20,No,,nearsighted,contacts,Male,yes,English,[],4.252516666666667,
1020,condition1,67,26,Yes,,farsighted,glasses,Woman,no,English,[],5.052733333333333,
999,condition1,68,20,No,,none,neither,Woman,yes,"Mandarin, English",[],4.399616666666667,
1075,condition1,81,55,No,,none,neither,Male,no,spanish,[],7.238283333333333,
1023,condition1,83,22,No,,nearsighted,contacts,NB,yes,English,[],6.925983333333333,
1009,condition1,82,20,Yes,,none,neither,Woman,yes,English,[],8.089383333333334,
1082,condition1,77,19,No,,nearsighted,neither,Male,yes,English,[],4.2510666666666665,
1081,condition1,81,20,Yes,,nearsighted,neither,Male,yes,"English, Mandarin",[],4.681283333333333,
1089,condition1,84,20,No,This is awesome! :),nearsighted,contacts,Woman,yes,english,[],5.077,
1070,condition1,82,19,No,,farsighted,neither,Male,no,English and Spanish,[],3.5500666666666665,
1049,condition1,88,20,No,I did the experiment without my glasses so that the camera could better track my eye movements (the glare). I have astigmatism. ,nearsighted,neither,Woman,yes,Spanish,[],7.67945,
1071,condition1,86,20,No,,nearsighted,glasses,Male,no,Arabic,[14],9.292883333333334,
1036,condition1,82,19,Yes,,none,neither,Male,no,English,[],3.665233333333333,
1002,condition1,82,20,No,,nearsighted,neither,Woman,no,Chinese/English ,[],4.691333333333334,
1045,condition1,86,19,Yes,,nearsighted,neither,Woman,yes,English,[],3.63555,
1040,condition1,59,21,No,,nearsighted,glasses,Male,yes,"French, Creole",[],5.007416666666667,
