workerid,proliferate.condition,Browser,OS,imageH,imageW,screenH,screenW,windowH,windowW,error
1037,condition1,Chrome,Windows,473,467,1000,1500,890,1500,
1076,condition1,Chrome,Windows,473,467,864,1536,722,1536,
1039,condition1,Chrome,Mac,473,467,900,1440,683,1321,
1093,condition1,Chrome,Windows,473,467,1003,1504,860,1504,
1022,condition1,Chrome,Windows,473,467,864,1536,808,1646,
1096,condition1,Chrome,Mac,473,467,900,1440,668,1440,
1012,condition1,Chrome,Mac,473,467,1120,1792,1018,1792,
1025,condition1,Chrome,Mac,473,467,1080,1920,946,1920,
1084,condition1,Chrome,Mac,473,467,900,1440,687,1440,
1013,condition1,Chrome,Mac,473,467,900,1440,728,1440,
1091,condition1,Chrome,Mac,473,467,900,1440,740,1440,
1088,condition1,Chrome,Mac,473,467,900,1440,766,1440,
1032,condition1,Chrome,Mac,473,467,900,1440,798,1440,
1035,condition1,Chrome,Windows,473,467,864,1536,743,1536,
1047,condition1,Chrome,Mac,473,467,800,1280,586,1280,
1011,condition1,Chrome,Mac,473,467,800,1280,653,1280,
1105,condition1,Chrome,Mac,473,467,900,1440,821,1440,
1014,condition1,Chrome,Mac,473,467,900,1440,798,1295,
1095,condition1,Firefox,Mac,473,467,900,1440,752,1440,
1110,condition1,Chrome,Windows,473,467,1080,1920,1007,1920,
1030,condition1,Chrome,Windows,473,467,1080,1920,937,1920,
1074,condition1,Chrome,Mac,473,467,1120,1792,772,1133,
1024,condition1,Chrome,Mac,473,467,768,1360,640,1360,
1078,condition1,Chrome,Mac,473,467,900,1440,705,1440,
1092,condition1,Chrome,Windows,473,467,1003,1504,860,1504,
1033,condition1,Chrome,Windows,473,467,768,1366,657,1366,
1000,condition1,Chrome,Mac,473,467,900,1440,704,1424,
1018,condition1,Chrome,Mac,473,467,900,1440,684,1440,
1077,condition1,Chrome,Mac,473,467,800,1280,688,1280,
1003,condition1,Chrome,Mac,473,467,900,1440,789,1440,
1102,condition1,Chrome,Mac,473,467,900,1440,760,1238,
1099,condition1,Chrome,Mac,473,467,1080,1920,812,1679,
1046,condition1,Chrome,Windows,473,467,720,1280,578,1280,
1098,condition1,Chrome,Mac,473,467,900,1440,692,1388,
998,condition1,Chrome,Mac,473,467,900,1440,821,1440,
1090,condition1,Chrome,Mac,473,467,1050,1680,971,1680,
986,condition1,Chrome,Mac,473,467,1440,2560,1086,1381,
1085,condition1,Chrome,Mac,473,467,900,1440,729,1387,
1021,condition1,Chrome,Mac,473,467,1440,2560,1329,2560,
997,condition1,Chrome,Mac,473,467,900,1440,766,1440,
1029,condition1,Chrome,Mac,473,467,960,1536,858,1200,
1079,condition1,Chrome,Mac,473,467,900,1440,745,1440,
1026,condition1,Chrome,Mac,473,467,900,1440,795,1440,
1080,condition1,Chrome,Mac,473,467,900,1440,688,1440,
1020,condition1,Chrome,Mac,473,467,900,1440,614,1388,
999,condition1,Chrome,Mac,473,467,900,1440,717,1440,
1075,condition1,Chrome,Windows,473,467,864,1536,722,1536,
1023,condition1,Chrome,Windows,473,467,889,1334,779,1334,
1009,condition1,Chrome,Mac,473,467,800,1280,575,1200,
1082,condition1,Chrome,Mac,473,467,900,1440,694,1440,
1081,condition1,Chrome,Mac,473,467,900,1440,797,1440,
1089,condition1,Chrome,Mac,473,467,900,1440,766,1013,
1070,condition1,Chrome,Windows,473,467,864,1536,722,1536,
1049,condition1,Chrome,Windows,473,467,1003,1504,860,1504,
1071,condition1,Firefox,Mac,473,467,900,1440,803,1400,
1036,condition1,Chrome,Windows,473,467,1003,1504,876,1448,
1002,condition1,Chrome,Mac,473,467,900,1440,789,1440,
1045,condition1,Chrome,Mac,473,467,900,1440,717,1440,
1040,condition1,Chrome,Mac,473,467,1080,1920,710,1281,
